task_name,pct,task_key,soc_code,occupation,major_group,group
"perform routine system administrative functions such as troubleshooting, back-ups, and upgrades.",1.8123542364268868,"perform routine system administrative functions such as troubleshooting, back-ups, and upgrades",43-9111.01,Bioinformatics Technicians,43,Office and Administrative Support
develop or apply data mining and machine learning algorithms.,0.6280048468423863,develop or apply data mining and machine learning algorithms,43-9111.01,Bioinformatics Technicians,43,Office and Administrative Support
"compile reports, charts, or graphs that describe and interpret findings of analyses.",0.2656642910190095,"compile reports, charts, or graphs that describe and interpret findings of analyses",43-9111.00,Statistical Assistants,43,Office and Administrative Support
"compose letters in reply to correspondence concerning such items as requests for merchandise, damage claims, credit information requests, delinquent accounts, incorrect billing, or unsatisfactory service.",0.2617555471589947,"compose letters in reply to correspondence concerning such items as requests for merchandise, damage claims, credit information requests, delinquent accounts, incorrect billing, or unsatisfactory service",43-4021.00,Correspondence Clerks,43,Office and Administrative Support
"reformat documents, moving paragraphs or columns.",0.2471629034149392,"reformat documents, moving paragraphs or columns",43-9022.00,Word Processors and Typists,43,Office and Administrative Support
participate in the work of subordinates to facilitate productivity or to overcome difficult aspects of work.,0.2023426404867689,participate in the work of subordinates to facilitate productivity or to overcome difficult aspects of work,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,43,Office and Administrative Support
"monitor database performance and perform any necessary maintenance, upgrades, or repairs.",0.1998671027087595,"monitor database performance and perform any necessary maintenance, upgrades, or repairs",43-9111.01,Bioinformatics Technicians,43,Office and Administrative Support
plan parties or other special events and services.,0.1727664786126565,plan parties or other special events and services,35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",35,Food Preparation and Serving Related
help programmers and systems analysts test and debug new programs.,0.1610402470326119,help programmers and systems analysts test and debug new programs,43-9011.00,Computer Operators,43,Office and Administrative Support
"answer customers' questions, and provide information on procedures or policies.",0.1575223775585985,"answer customers' questions, and provide information on procedures or policies",41-2011.00,Cashiers,41,Sales and Related
"troubleshoot problems involving office equipment, such as computer hardware and software.",0.1383695326445258,"troubleshoot problems involving office equipment, such as computer hardware and software",43-9061.00,"Office Clerks, General",43,Office and Administrative Support
recommend and provide advice on a wide variety of products and services.,0.1360242863285168,recommend and provide advice on a wide variety of products and services,41-2021.00,Counter and Rental Clerks,41,Sales and Related
respond to program error messages by finding and correcting problems or terminating the program.,0.1327669997785045,respond to program error messages by finding and correcting problems or terminating the program,43-9011.00,Computer Operators,43,Office and Administrative Support
"record messages, suggesting rewording for clarity or conciseness.",0.1237768889004703,"record messages, suggesting rewording for clarity or conciseness",43-2011.00,"Switchboard Operators, Including Answering Service",43,Office and Administrative Support
explain stock market terms or trading practices to clients.,0.1102265768524188,explain stock market terms or trading practices to clients,41-3031.01,"Sales Agents, Securities and Commodities",41,Sales and Related
"compute and analyze data, using statistical formulas and computers or calculators.",0.1094448280804158,"compute and analyze data, using statistical formulas and computers or calculators",43-9111.00,Statistical Assistants,43,Office and Administrative Support
"compose business correspondence for supervisors, managers, and professionals.",0.1004547172023817,"compose business correspondence for supervisors, managers, and professionals",43-9041.02,Insurance Policy Processing Clerks,43,Office and Administrative Support
study documentation or other information for new scientific or technical products.,0.0975883050383708,study documentation or other information for new scientific or technical products,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",41,Sales and Related
"process and prepare documents, such as business or government forms and expense reports.",0.0927675209443525,"process and prepare documents, such as business or government forms and expense reports",43-9061.00,"Office Clerks, General",43,Office and Administrative Support
prepare responses to correspondence containing routine inquiries.,0.0849500332243228,prepare responses to correspondence containing routine inquiries,43-6011.00,Executive Secretaries and Executive Administrative Assistants,43,Office and Administrative Support
"check completed work for spelling, grammar, punctuation, and format.",0.0831259527563158,"check completed work for spelling, grammar, punctuation, and format",43-9022.00,Word Processors and Typists,43,Office and Administrative Support
write computer programs or scripts to be used in querying databases.,0.0813018722883089,write computer programs or scripts to be used in querying databases,43-9111.01,Bioinformatics Technicians,43,Office and Administrative Support
"create, maintain, and enter information into databases.",0.0801292491303044,"create, maintain, and enter information into databases",43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",43,Office and Administrative Support
"prepare measurement tables and conversion charts, using standard formulas.",0.0725723443342757,"prepare measurement tables and conversion charts, using standard formulas",43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",43,Office and Administrative Support
"position text and art elements from a variety of databases in a visually appealing way to design print or web pages, using knowledge of type styles and size and layout patterns.",0.0694453492462639,"position text and art elements from a variety of databases in a visually appealing way to design print or web pages, using knowledge of type styles and size and layout patterns",43-9031.00,Desktop Publishers,43,Office and Administrative Support
