,feb_2025,aug_2025,employment,index_feb,index_aug,change_pp
15,37.31196338375578,39.14843241278991,3.409462004491555,10.943651325224264,11.482290273719599,1.8364690290341272
19,6.376814250589799,7.806844997274591,0.91497832751974,6.969360976970489,8.532273128738302,1.4300307466847917
27,10.26912311112392,8.942599482906695,1.3871822957162698,7.40286488865652,6.4465928598729665,-1.326523628217224
25,9.333424105868712,13.464852438813828,5.758536150576867,1.6207980399556452,2.3382422349584404,4.1314283329451165
17,4.419269612759122,2.4458671469698277,1.6724367972972962,2.6424135249241005,1.4624571469142607,-1.973402465789294
21,2.077730965915786,2.161251406432857,1.5924059097077998,1.3047747143170558,1.3572239296885291,0.0835204405170713
45,0.07423273205256767,0.3812180696010755,0.2846157295826573,0.26081739108874236,1.3394132157069107,0.3069853375485079
23,0.8973388809317449,0.7268873849320675,0.8169893859142345,1.0983482728207012,0.8897146002927072,-0.17045149599967735
43,7.866836690607923,8.892605520552259,12.204792673377373,0.6445694655484034,0.7286158608781554,1.0257688299443357
13,5.926966512789758,3.2650684398159506,6.643116833308232,0.8921966392450401,0.4914964649492648,-2.6618980729738078
29,2.582696834569665,2.764677403518979,6.113910695855167,0.42242959752758,0.4521946003223845,0.18198056894931414
11,4.4900983747352035,2.8688408961897305,6.911756677653326,0.6496320087847303,0.41506682454043753,-1.621257478545473
39,0.4583576629912496,0.6709122036052064,2.0023394859808317,0.2289110643826346,0.33506416284677365,0.21255454061395684
51,2.9318656112613803,1.7605097352802763,5.775401048389481,0.5076471030663672,0.3048290015757796,-1.171355875981104
41,2.269662509459105,2.630833522362421,8.811537038865062,0.257578501849144,0.2985669254703917,0.3611710129033159
49,0.7224271877708426,0.5741970213529501,3.944226116858266,0.1831606927105601,0.1455791337364606,-0.14823016641789244
33,0.3792808196759929,0.2562895903090696,2.3076988423146543,0.16435455646178204,0.11105850798625334,-0.1229912293669233
31,0.27244852804478503,0.27276615578028285,4.651531106846338,0.058571795347940964,0.058640079903757504,0.0003176277354978163
47,0.42209228948408717,0.22559352312982373,4.0997506352653375,0.1029556007268645,0.05502615724705491,-0.19649876635426344
37,0.09871513221805274,0.15065900619225422,2.916665870945535,0.03384519742264853,0.05165453050109338,0.051943873974201485
35,0.5348160677861356,0.38889208639588585,8.724091127871816,0.0613033564123946,0.044576802407926414,-0.1459239813902497
53,0.283838735608405,0.20020155579405016,9.056575245662161,0.031340625778420554,0.022105658084157247,-0.08363717981435484
